pathway	pval	padj	ES	NES	nMoreExtreme	size
5990980	1.05323025719883e-05	0.000250551555471943	0.538849686537971	2.68000895617226	0	369
5990979	1.07728438153104e-05	0.000250551555471943	0.559475493154341	2.74358554832648	0	317
5991210	1.12919070901885e-05	0.000250551555471943	0.423851201438441	2.0106184184403	0	231
5991454	1.17525385483264e-05	0.000250551555471943	0.557624682888066	2.55398419662091	0	173
5991023	1.19017864581474e-05	0.000250551555471943	0.494476586501543	2.24167400667703	0	160
5991209	1.19351681665195e-05	0.000250551555471943	0.524879644608933	2.37339832922367	0	157
5991502	1.23638431770131e-05	0.000250551555471943	0.605290660179594	2.64308368012621	0	123
5991600	1.23771567195584e-05	0.000250551555471943	0.601552091557669	2.62330306448775	0	122
5991599	1.24305443335364e-05	0.000250551555471943	0.616459987606916	2.66996448366022	0	116
5990991	1.26590290524717e-05	0.000250551555471943	0.628524711726734	2.6609455666645	0	101
5990988	1.27200569858553e-05	0.000250551555471943	0.601309234717173	2.53316870147355	0	98
5991009	1.2779552715655e-05	0.000250551555471943	0.606523158074858	2.53483354447758	0	93
5990990	1.29735339906591e-05	0.000250551555471943	0.623290529967304	2.55830906132968	0	84
5990981	1.30121924243016e-05	0.000250551555471943	0.644000596613712	2.63186964465022	0	82
5991851	1.30121924243016e-05	0.000250551555471943	0.725326964773323	2.96423020579628	0	82
5990987	1.30890052356021e-05	0.000250551555471943	0.647855512486377	2.62444696798916	0	78
5991757	1.30890052356021e-05	0.000250551555471943	0.670597949428748	2.71657602844744	0	78
5992217	1.31658635489902e-05	0.000250551555471943	0.734798686878103	2.94904930883065	0	74
5990977	1.34145359912001e-05	0.000250551555471943	0.578846390178477	2.2551278175949	0	63
5990978	1.34145359912001e-05	0.000250551555471943	0.578846390178477	2.2551278175949	0	63
5991078	1.35862181403185e-05	0.000250551555471943	0.633763992265673	2.40869443979354	0	55
5991506	1.35862181403185e-05	0.000250551555471943	0.645117062803597	2.45184311692415	0	55
5990983	1.36286201022147e-05	0.000250551555471943	0.59385572725555	2.2474133605997	0	54
5990992	1.36286201022147e-05	0.000250551555471943	0.59385572725555	2.2474133605997	0	54
5991022	1.37532664007702e-05	0.000250551555471943	0.690491914951155	2.56360244583804	0	49
5991017	1.38858031548545e-05	0.000250551555471943	0.688130747626764	2.50018810396675	0	44
5991016	1.42342675757619e-05	0.000250551555471943	0.693613225514781	2.38259333042433	0	34
5990998	1.43544103925931e-05	0.000250551555471943	0.777238329741357	2.61459070134126	0	31
5990989	1.45011600928074e-05	0.000250551555471943	0.718885950039118	2.36175635921448	0	28
5991393	1.45979008218618e-05	0.000250551555471943	0.771667151302997	2.49202851334383	0	26
5991021	1.46786836156533e-05	0.000250551555471943	0.74618818590814	2.36489736977042	0	24
5991042	1.47143214490664e-05	0.000250551555471943	0.770743977542755	2.41873998102429	0	23
5991610	1.47959636611132e-05	0.000250551555471943	0.748441524804594	2.32254350320449	0	22
5990999	1.49646833473004e-05	0.000250551555471943	0.760367665936474	2.30459790765049	0	20
5991662	1.49646833473004e-05	0.000250551555471943	0.772153119230007	2.34031843104694	0	20
5990993	2.7304499781564e-05	0.000419595541403554	0.571685358177299	2.14930366330538	1	52
5990994	2.7304499781564e-05	0.000419595541403554	0.571685358177299	2.14930366330538	1	52
5991398	2.88035025059047e-05	0.000419595541403554	0.680529431112813	2.27174831540842	1	30
5992313	2.92757187188945e-05	0.000419595541403554	-0.385880878528321	-1.95189480868519	0	147
5992314	2.92757187188945e-05	0.000419595541403554	-0.385880878528321	-1.95189480868519	0	147
5991504	2.93573672313067e-05	0.000419595541403554	0.708375426859137	2.24505723278149	1	24
5991449	4.04847372540552e-05	0.000551722233276194	0.541571806698263	2.08560672120697	2	59
5991450	4.04847372540552e-05	0.000551722233276194	0.541571806698263	2.08560672120697	2	59
5992049	5.84718385007821e-05	0.000761433274699073	0.689341984963582	2.20736923266702	3	25
5992050	5.84718385007821e-05	0.000761433274699073	0.689341984963582	2.20736923266702	3	25
5990976	6.87663320038509e-05	0.000876023272918622	0.559431315871011	2.07701127064865	4	49
5992392	7.35716072453319e-05	0.000910191158782071	0.695609011629271	2.18295228585835	4	23
