GSM357839	GSM357841	GSM357842	GSM357843	GSM357844	GSM357845	GSM357847	GSM357848	GSM357849	GSM357850	GSM357852	GSM357853
20090	16.4019424616429	16.3298281278108	16.2452317944622	16.3558322256656	16.3558322256656	16.3298281278108	16.2129227474958	16.3298281278108	16.2452317944622	16.2289043801774	16.2796421082372	16.2675409827494
22121	16.2675409827494	16.2452317944622	16.3298281278108	16.3298281278108	16.3298281278108	16.2675409827494	16.2796421082372	16.3110883985361	16.3110883985361	16.2006908000732	16.2542838424045	16.2452317944622
20091	16.2129227474958	16.1896907980764	16.3110883985361	16.2452317944622	16.2796421082372	16.2964167304842	16.2964167304842	16.1896907980764	16.2542838424045	16.2129227474958	16.2964167304842	16.2796421082372
67671	16.2006908000732	16.2542838424045	16.2964167304842	16.2964167304842	16.2006908000732	16.2452317944622	16.1791587693971	16.1636956481938	16.2006908000732	16.2452317944622	16.2452317944622	16.3110883985361
19241	16.3110883985361	16.3558322256656	16.2289043801774	16.1691052247356	16.4019424616429	16.1636956481938	16.2452317944622	16.2796421082372	16.0747294345165	16.046168216661	16.2675409827494	16.2542838424045
67186	16.1636956481938	16.2006908000732	16.1896907980764	16.1896907980764	16.1483019663187	16.1410698907265	16.2006908000732	16.2452317944622	16.2796421082372	16.2675409827494	16.2289043801774	16.2964167304842
20084	16.1791587693971	16.1791587693971	16.2006908000732	16.1483019663187	16.2452317944622	16.1533779426764	15.9265052947575	16.0237909893509	16.0710793256685	16.1293832036652	16.1065582671823	16.0936097162704
11837	15.9924687175485	16.0990028789464	16.1533779426764	16.0747294345165	15.9680851040185	16.0710793256685	16.2289043801774	16.2289043801774	16.1896907980764	16.1896907980764	16.1636956481938	16.0837456605553
16785	16.1065582671823	16.1410698907265	16.0747294345165	16.1636956481938	16.0710793256685	16.2289043801774	15.9713679032625	15.9478127057919	16.2675409827494	16.2542838424045	16.0747294345165	16.0188201093665
67097	16.1159339698751	16.1483019663187	16.0710793256685	16.1293832036652	16.1159339698751	16.1293832036652	15.9956441834211	16.0710793256685	16.0416621474062	16.0541646424195	16.0894374911394	16.0644731851518
54127	16.0837456605553	16.0298137703898	15.9827691190949	16.1065582671823	16.035651327155	16.0747294345165	16.1159339698751	16.2129227474958	16.0143919031361	15.9375961191274	16.0188201093665	16.0002885082123
19981	16.0710793256685	16.0936097162704	15.9478127057919	16.0710793256685	15.9827691190949	16.0644731851518	16.0837456605553	16.0747294345165	15.9827691190949	16.0416621474062	16.1159339698751	16.0416621474062
13627	16.0237909893509	16.0042494467543	16.0644731851518	16.0298137703898	16.0097332247079	15.9956441834211	16.1293832036652	16.1410698907265	16.0541646424195	16.0298137703898	16.0143919031361	16.0747294345165
67891	16.0747294345165	16.0710793256685	16.0990028789464	16.0597887827046	16.0894374911394	16.0416621474062	15.9406651476867	15.8689398338784	16.0990028789464	16.05003874547	16.0990028789464	15.9956441834211
20088	16.035651327155	16.0188201093665	16.046168216661	16.0002885082123	16.0597887827046	16.1065582671823	16.0936097162704	16.0837456605553	15.840615526227	15.8501625648777	16.1896907980764	16.0710793256685
22070	15.7890635703401	15.9478127057919	15.9248378224538	15.9326336893912	15.8598802211056	15.8823624599485	16.2542838424045	16.2006908000732	16.0837456605553	16.0644731851518	16.0097332247079	16.1483019663187
20102	16.05003874547	16.0747294345165	16.0002885082123	15.9758818379905	16.05003874547	16.0597887827046	15.8932638975321	15.9345703804805	15.8823624599485	15.8776813805217	15.9345703804805	15.8598802211056
20115	16.1533779426764	16.1533779426764	16.1483019663187	16.1410698907265	16.1691052247356	16.2129227474958	15.7278478114923	15.8667980644518	15.5565791367726	15.6431543218358	15.9052644667764	15.8371793490197
19896	16.1483019663187	16.1065582671823	16.1065582671823	16.0837456605553	16.0237909893509	16.0990028789464	15.6504187199452	15.8020680815362	15.9106726340783	15.8722706878251	15.8776813805217	15.8336129936452
19899	15.8020680815362	15.8967571698155	15.7662988832231	15.8863006603952	15.8894439427589	15.8776813805217	16.0747294345165	16.1065582671823	16.046168216661	16.0188201093665	16.0042494467543	16.035651327155
27176	15.9191829008315	15.9680851040185	16.0188201093665	15.9608828438135	15.9924687175485	15.9516314684946	15.8624369954952	15.8371793490197	15.9792477618969	15.9956441834211	15.9106726340783	15.8967571698155
19240	15.7993314252	15.9077627092428	15.9758818379905	15.8989023352566	15.8245228622099	15.7743471203353	16.0237909893509	16.05003874547	16.0188201093665	15.9924687175485	15.9326336893912	16.0597887827046
14694	15.8112138069932	15.8440137506307	15.7927156099412	15.8336129936452	15.8128386033413	15.8245228622099	16.0416621474062	15.9713679032625	16.1293832036652	16.0747294345165	16.0644731851518	16.0237909893509
19934	15.9248378224538	16.0894374911394	16.0597887827046	16.046168216661	15.9792477618969	15.8336129936452	15.8020680815362	15.7947826479302	15.9191829008315	15.9345703804805	15.8740546420299	15.9143580570945
11461	16.0097332247079	16.0837456605553	16.0837456605553	16.05003874547	16.0541646424195	16.0002885082123	15.8440137506307	15.8462521902473	15.8275202869792	15.821119898918	15.8112138069932	15.6282841257681
67427	16.0597887827046	15.9758818379905	15.8598802211056	15.9547738717603	15.9608828438135	15.9713679032625	15.8740546420299	15.8624369954952	15.8336129936452	15.8462521902473	15.8440137506307	15.8163786909536
20044	15.9143580570945	15.856874095559	15.9680851040185	15.9446641365145	15.9265052947575	15.8740546420299	15.9106726340783	15.9924687175485	15.8047228516647	15.7993314252	15.8722706878251	15.8689398338784
66489	16.0541646424195	15.9248378224538	15.840615526227	15.8624369954952	15.9017106380683	15.9191829008315	15.7890635703401	15.8128386033413	15.9608828438135	15.9143580570945	15.8521865229058	15.856874095559
67945	15.8275202869792	15.9191829008315	15.9052644667764	15.8020680815362	15.8722706878251	15.8112138069932	15.9516314684946	15.8805091930726	15.9406651476867	15.9478127057919	15.8294833662408	15.9296031651017
27207	15.8192247741892	15.8294833662408	15.8805091930726	15.7662988832231	15.8501625648777	15.8275202869792	15.9052644667764	15.9191829008315	15.821119898918	15.9248378224538	15.989438250975	16.0042494467543
19921	15.8245228622099	15.8128386033413	15.7808326172089	15.7367974653322	15.7609827431647	15.7662988832231	15.9375961191274	15.8932638975321	15.9248378224538	15.9446641365145	15.9478127057919	15.9827691190949
20068	15.840615526227	15.8371793490197	15.6282841257681	15.8521865229058	15.6431543218358	15.8932638975321	15.8192247741892	15.821119898918	15.9680851040185	15.9516314684946	15.9191829008315	15.9406651476867
19989	15.8128386033413	15.8863006603952	15.8689398338784	15.9345703804805	15.8192247741892	15.8863006603952	15.7007904276988	15.7309449963546	15.8462521902473	15.8440137506307	15.9077627092428	15.8128386033413
11465	16.0894374911394	16.0002885082123	15.9713679032625	15.734689871486	15.8989023352566	15.7580493088028	15.5519671898668	15.5120408184718	15.9296031651017	15.9326336893912	15.7145216190349	15.7076008222966
15481	15.9345703804805	15.9296031651017	15.9191829008315	15.7076008222966	15.9248378224538	15.7407242082603	15.5817703052955	15.489948959101	16.0597887827046	16.0990028789464	15.4955883795769	15.8078390821477
14109	15.7194202235785	15.7580493088028	15.7309449963546	15.8501625648777	15.7254115634676	15.8294833662408	15.8722706878251	15.8294833662408	15.7044029072162	15.7076008222966	15.840615526227	15.8863006603952
20085	15.8967571698155	15.8020680815362	15.8776813805217	15.8776813805217	15.8667980644518	15.8521865229058	15.7662988832231	15.7367974653322	15.6633894818979	15.6073248288911	15.689594126476	15.689594126476
27050	15.6527987711974	15.698169419666	15.7407242082603	15.710977783171	15.698169419666	15.7557526097735	15.9143580570945	15.8894439427589	15.8078390821477	15.7639250086638	15.8336129936452	15.8245228622099
16898	15.7278478114923	15.8078390821477	15.7993314252	15.746708911866	15.7808326172089	15.694241680564	15.7407242082603	15.7007904276988	15.8689398338784	15.8521865229058	15.6860924858337	15.7609827431647
76808	15.7309449963546	15.7705532243167	15.8192247741892	15.7580493088028	15.734689871486	15.7890635703401	15.8112138069932	15.7890635703401	15.7145216190349	15.6504187199452	15.710977783171	15.8020680815362
20054	15.6709702919734	15.6127539304917	15.621992623465	15.694241680564	15.6680684315584	15.7278478114923	15.9680851040185	15.8245228622099	15.7254115634676	15.7194202235785	15.7890635703401	15.8667980644518
19942	15.8740546420299	15.8047228516647	15.8020680815362	15.7743471203353	15.8112138069932	15.7254115634676	15.5425807521693	15.5732200752393	15.689594126476	15.7254115634676	15.723322789921	15.723322789921
19988	15.710977783171	15.689594126476	15.6709702919734	15.7808326172089	15.6604269022535	15.710977783171	15.7076008222966	15.694241680564	15.7846486567227	15.7557526097735	15.746708911866	15.710977783171
22186	15.6127539304917	15.6769400686628	15.6568639995861	15.7194202235785	15.6476779099165	15.6860924858337	15.8776813805217	15.8163786909536	15.5894637539899	15.5694062519842	15.5817703052955	15.7580493088028
76846	15.7512737226953	15.7145216190349	15.7194202235785	15.8275202869792	15.7044029072162	15.7639250086638	15.5732200752393	15.6127539304917	15.5769456641631	15.5817703052955	15.6633894818979	15.6345671367226
14433	15.9792477618969	16.0143919031361	15.9547738717603	15.9375961191274	15.9758818379905	15.9265052947575	14.8256229818391	14.7596321865609	15.9758818379905	15.9758818379905	15.1446676182983	15.0945203498117
12010	15.8047228516647	15.6476779099165	15.7076008222966	15.5363157319459	15.9106726340783	15.621992623465	15.596957990062	15.6282841257681	15.2637000156581	15.2068761649696	15.8371793490197	15.7927156099412
17938	15.6073248288911	15.5471955130827	15.6633894818979	15.723322789921	15.6396553388965	15.7194202235785	15.4857596824271	15.4722371177694	15.6073248288911	15.5471955130827	15.6604269022535	15.5694062519842
14972	15.3880943805593	15.4271991738496	15.5651342846647	15.2203035604908	15.5363157319459	15.2172614845618	15.9608828438135	15.9296031651017	15.6504187199452	15.5565791367726	15.8020680815362	15.9608828438135
18458	15.4759965507668	15.6504187199452	15.4169999305974	15.5519671898668	15.3094103075729	15.5846167093794	15.5316718604969	15.5213231628594	15.7927156099412	15.8192247741892	15.7512737226953	15.6527987711974
20103	15.5002153755743	15.5519671898668	15.6680684315584	15.621992623465	15.6167603525255	15.6431543218358	15.6820080090859	15.6476779099165	15.5519671898668	15.5519671898668	15.4436469907418	15.5732200752393
12721	15.4572432841869	15.5565791367726	15.5425807521693	15.5425807521693	15.5732200752393	15.5069881093305	15.5213231628594	15.5565791367726	15.3196774094117	15.3027812357525	15.7781082999937	15.7781082999937
67025	15.6769400686628	15.6396553388965	15.6527987711974	15.6022624057058	15.7309449963546	15.6568639995861	15.4211309739408	15.4436469907418	15.2963704352299	15.2847338607983	15.3655085964762	15.3655085964762
26961	15.4052299529854	15.5363157319459	15.4857596824271	15.5565791367726	15.3687765273229	15.5894637539899	15.5565791367726	15.5069881093305	15.4315094651494	15.4572432841869	15.3880943805593	15.489948959101
276770	15.5846167093794	15.5069881093305	15.5169857380312	15.4822848823259	15.5894637539899	15.3983208275082	15.1103927533932	15.0540172573208	15.7781082999937	15.8371793490197	15.4395648831637	15.4482559596375
66940	15.1985859121242	15.1888051115527	15.3533000050284	15.6476779099165	15.3749274491387	15.4955883795769	15.6527987711974	15.734689871486	14.9821444353498	15.0237818573199	15.5846167093794	15.7145216190349
23833	15.7846486567227	15.746708911866	15.6167603525255	15.6568639995861	15.6769400686628	15.6073248288911	15.3533000050284	15.3749274491387	14.6747911142828	14.615665971012	15.2203035604908	15.2902193870882
66870	15.6504187199452	15.1676170793829	15.3338838733962	15.1786571565609	15.4123502540117	15.239575121011	15.1786571565609	15.0798331727651	15.7007904276988	15.746708911866	15.4653943766098	15.3934160286382
18643	15.4315094651494	15.4315094651494	15.2068761649696	15.2696044922782	15.1676170793829	15.1566936062448	15.2203035604908	15.2128068429853	15.596957990062	15.5169857380312	15.7044029072162	15.5002153755743
13629	15.2902193870882	15.2902193870882	15.1219414654643	15.34733858447	15.0984131667685	15.3300007377537	15.239575121011	15.1676170793829	15.710977783171	15.698169419666	15.4315094651494	15.4395648831637
18148	15.3338838733962	15.3027812357525	15.5846167093794	15.3983208275082	15.5932224327561	15.4169999305974	15.1985859121242	15.2260921812687	15.3300007377537	15.3300007377537	15.3094103075729	15.1159750915487
16852	16.2542838424045	16.2675409827494	16.1791587693971	15.8932638975321	16.1791587693971	15.9547738717603	13.1828305605093	13.1828305605093	15.8245228622099	15.8740546420299	14.2390227306157	15.0334986061168
21580	15.1219414654643	15.2203035604908	15.5471955130827	15.6167603525255	15.4653943766098	15.5565791367726	15.7254115634676	15.5425807521693	14.3553103128679	14.4414390893218	15.6680684315584	15.746708911866
27370	15.2468636331046	15.3196774094117	15.2963704352299	15.3141350675939	15.1728285135007	15.3422980055921	15.6127539304917	15.4759965507668	15.3027812357525	15.2696044922782	15.1504425440591	15.4169999305974
14964	15.1786571565609	15.2348941095766	15.3687765273229	15.0064070513102	15.2963704352299	14.9454433602763	15.734689871486	15.7145216190349	15.1159750915487	15.0845464638363	15.5732200752393	15.6568639995861
319269	15.9478127057919	15.8776813805217	14.8100608661678	16.0237909893509	14.8163297117382	16.0188201093665	15.6282841257681	15.7278478114923	14.2946730899647	14.4507518978308	15.3141350675939	14.8818555601613
227929	14.877792850116	14.9017415538482	15.0692778750485	15.3934160286382	15.0742604151592	15.3027812357525	15.6568639995861	15.6396553388965	15.3338838733962	15.3338838733962	15.5169857380312	15.4315094651494
22190	15.3655085964762	15.3300007377537	15.3094103075729	15.2348941095766	15.3533000050284	15.2779954377194	14.8100608661678	14.7811456870697	15.3844450709459	15.4395648831637	15.5267053285478	15.058298582515
67952	15.4482559596375	15.3422980055921	15.3300007377537	15.3655085964762	15.5519671898668	15.35905817717	14.8005732653763	14.976990298492	15.3094103075729	15.3196774094117	15.0334986061168	14.9280605126664
